unitType,make,stockNumber,year,model,color,msrp,unitId,modelName,invoice,holdback,rebate,age,advertisedPrice,structure,hondaCode,vin
GENERATOR,HONDA,357967,2020,EU7000IAN,RED,5999,357967-EU7000IAN,EU7000iS,3804,0,0.00,183,5999,OFF ROAD,664280,EEJD-1357967
GENERATOR,HONDA,350242,2020,EU7000IAN,RED,5999,350242-EU7000IAN,EU7000iS,3804,0,0.00,183,5999,OFF ROAD,664280,EEJD-1350242
MINIMOTO,HONDA,106689,2023,GROM125P,Cherry Red,3499,106689-GROM125P,GROM,3379,175,0.00,38,3499,ON ROAD,256278,MLHJC9212P5106689
MINIMOTO,HONDA,106832,2023,GROM125P,Cherry Red,3499,106832-GROM125P,GROM,3379,175,0.00,38,3499,ON ROAD,256278,MLHJC9213P5106832
MINIMOTO,HONDA,105037,2023,GROM125P,Matte Black Metallic,3499,105037-GROM125P,GROM,3379,175,0.00,37,3499,ON ROAD,256271,MLHJC9219P5105037
MINIMOTO,HONDA,105185,2023,GROM125P,Matte Black Metallic,3499,105185-GROM125P,GROM,3379,175,0.00,37,3499,ON ROAD,256271,MLHJC9212P5105185
MINIMOTO,HONDA,106866,2023,GROM125P,Cherry Red,3499,106866-GROM125P,GROM,3379,175,0.00,37,3499,ON ROAD,256278,MLHJC9219P5106866
MINIMOTO,HONDA,109589,2023,GROM125P,Force Metallic Silver,3499,109589-GROM125P,GROM,3379,175,0.00,37,3499,ON ROAD,256274,MLHJC9212P5109589
MINIMOTO,HONDA,109522,2023,GROM125P,Force Metallic Silver,3499,109522-GROM125P,GROM,3379,175,0.00,37,3499,ON ROAD,256274,MLHJC9213P5109522
MINIMOTO,HONDA,104993,2023,GROM125P,Matte Black Metallic,3499,104993-GROM125P,GROM,3379,175,0.00,37,3499,ON ROAD,256271,MLHJC9216P5104993
MINIMOTO,HONDA,010515,2022,NVA110BN,BROWN,1807,010515-NVA110BN,NAVI,1890,90,0.00,155,1807,ON ROAD,255601,3H1JK0709ND010515
MINIMOTO,HONDA,010528,2022,NVA110BN,BROWN,1807,010528-NVA110BN,NAVI,1890,90,0.00,155,1807,ON ROAD,255601,3H1JK0707ND010528
MINIMOTO,HONDA,100221,2023,C125AP,Pearl Gray,3849,100221-C125AP,SUPER CUB C125 ABS,3687,192,0.00,13,3849,ON ROAD,257214,MLHJA5859P5100221
MINIMOTO,HONDA,104735,2022,CT125AN,RED,3999,104735-CT125AN,TRAIL 125,3819,200,0.00,111,3999,ON ROAD,255501,MLHJA5553N5104735
MINIMOTO,HONDA,105047,2022,CT125AN,Glowing Red,3999,105047-CT125AN,TRAIL 125,3819,200,0.00,37,3999,ON ROAD,255501,MLHJA5559N5105047
MINIMOTO,HONDA,105484,2022,CT125AN,Glowing Red,3999,105484-CT125AN,TRAIL 125,3819,200,0.00,37,3999,ON ROAD,255501,MLHJA5559N5105484
MINIMOTO,HONDA,103126,2022,CT125AN,RED,3999,103126-CT125AN,TRAIL 125,3819,200,0.00,117,3999,ON ROAD,255501,MLHJA5556N5103126
MINIMOTO (b),HONDA,010779,2022,NVA110BN,DARK GREEN,1807,010779-NVA110BN,NAVI,1890,90,0.00,126,1807,ON ROAD,255609,3H1JK070XND010779
